alloc,,clusters,,tasksAlloc,,file
1,,[[r2, r3, r1]],,{r2=[at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at1Rock_11, at1Rock_13, at1Rock_25, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at2_10, at2_32, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_12, at2Rock_26, at2Rock_2, at2Reef_16, at1Reef_29, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation1.xml
2,,[[r2, r3, r1]],,{r2=[at2Rock_14, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2Reef_16, at1Rock_11, at1Rock_13, at1Rock_25, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at2_10, at2_32, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_12, at2Rock_26, at2Rock_2, at2Reef_6, at1Reef_29, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation2.xml
3,,[[r2, r3, r1]],,{r2=[at2Rock_26, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2Reef_16, at1Rock_11, at1Rock_13, at1Rock_25, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at2_10, at2_32, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_14, at2Rock_12, at2Rock_2, at1Reef_29, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation3.xml
4,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Rock_2, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2Reef_16, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at2_10, at2_32, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at1Rock_11, at1Rock_13, at1Rock_25, at1Rock_1, at1Reef_29, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation4.xml
5,,[[r2, r3, r1]],,{r2=[at2Rock_26, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_16, at2_34, at1Rock_11, at1Rock_13, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_12, at2Reef_6, at2Reef_30, at2_10, at2_32, at1Rock_25, at1Reef_29, at1Reef_27, at1Reef_3, at1Reef_15, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation5.xml
6,,[[r2, r3, r1]],,{r2=[at2Rock_14, at2Rock_12, at2Rock_26, at1Rock_11, at1Rock_13, at1Rock_25, at1Rock_1, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at2_10, at2_32, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2Reef_16, at1Reef_29, at1Reef_27, at1Reef_3, at1Reef_15, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation6.xml
7,,[[r2, r3, r1]],,{r2=[at2Rock_26, at2Rock_2, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_18, at1Rock_11, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2_34, at2_36, at2_38, at2_20, at2_22, at2_24, at2_10, at1Rock_13, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_14, at2Rock_12, at2Reef_16, at2_32, at1Rock_25, at1Reef_29, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation7.xml
8,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Reef_8, at2Reef_28, at2Reef_30, at2Reef_16, at1Rock_11, at1Rock_13, at1Rock_1, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at2_10, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_14, at2Reef_6, at2Reef_4, at2_32, at1Rock_25, at1Reef_29, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation8.xml
9,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_28, at2Reef_30, at2_34, at1Rock_25, at1Reef_29, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_36, at2_38, at2_20, at2_22, at2_24, at2_10, at2_32, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_16, at2_18, at1Rock_11, at1Rock_13, at1Rock_1, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation9.xml
10,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_10, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_2, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation10.xml
11,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2Reef_16, at2_34, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_2, at2Reef_6, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation11.xml
