alloc,,clusters,,tasksAlloc,,file
1,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at3_9, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_12, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation1.xml
2,,[[r3, r4, r5, r1]],,{r3=[ate_14], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_12, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation2.xml
3,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at3_12, at3_9, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation3.xml
4,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at3_9], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_12, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation4.xml
5,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at3_12, at3_9], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation5.xml
6,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at3_12, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation6.xml
7,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at3_12, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_9, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation7.xml
8,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at3_12, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_9, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation8.xml
9,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at3_12, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_9, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation9.xml
10,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at3_12, at3_9, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation10.xml
11,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at3_9, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_12, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation11.xml
