alloc,time
10,12796
20,6482
30,6263
40,7279
50,7585
60,6966
70,8662
80,10042
90,8157
100,8509
110,11901
120,11283
130,10361
140,10881
150,11799
160,11273
170,12303
180,12549
190,13239
200,14095
210,15138
220,13943
230,13944
240,15230
250,17956
260,15274
270,15722
280,16265
290,18569
300,18377
310,17151
320,19423
330,19169
340,19924
350,20036
360,19591
370,20264
380,20895
390,20553
400,21511
410,21704
420,22271
430,25087
440,23780
450,33196
460,30125
470,23526
480,25259
490,25221
500,25271
510,28278
520,26628
530,26917
540,29047
550,32941
560,32735
570,36337
580,31211
590,30561
600,31728
610,29656
620,30836
630,29858
640,29963
650,31758
660,37015
670,32556
680,35729
690,51555
700,34062
710,34481
720,34479
730,36248
740,38558
750,37098
760,36378
770,48027
780,38390
790,39455
800,37708
810,40457
820,45304
830,42748
840,44908
850,46377
860,49768
870,52856
880,60645
890,50086
900,65397
910,50492
920,44274
930,46899
940,48504
950,43916
960,45139
970,47420
980,51462
990,46811
1000,51800
