alloc,,robots,,perm,,reason,,time
10,,[r2, r3, r1],,[48813147, 317, 1286030279],,probSuccessViolated,,26499
93,,[r2, r3, r1],,[141746446, 215, 1760236204],,noPlanSynthesised,,35715
1,,[r2, r3, r1],,[1883069640, 383, 493361069],,probSuccessViolated,,38508
21,,[r2, r3, r1],,[837418109, 306, 21847361],,probSuccessViolated,,56833
2,,[r2, r3, r1],,[1282655618, 20, 1237925523],,probSuccessViolated,,70498
51,,[r2, r3, r1],,[691995506, 419, 1868629111],,probSuccessViolated,,89383
6,,[r2, r3, r1],,[378916200, 568, 504316696],,probSuccessViolated,,125036
98,,[r2, r3, r1],,[807129214, 619, 181462029],,probSuccessViolated,,128322
4,,[r2, r3, r1],,[1507167072, 559, 938425041],,probSuccessViolated,,131886
61,,[r2, r3, r1],,[1040939830, 525, 1471924333],,probSuccessViolated,,148254
53,,[r2, r3, r1],,[1482871600, 53, 1107944764],,probSuccessViolated,,173082
28,,[r2, r3, r1],,[1564360952, 444, 456440246],,probSuccessViolated,,196849
30,,[r2, r3, r1],,[1855617123, 110, 195960989],,probSuccessViolated,,217805
12,,[r2, r3, r1],,[1419711672, 429, 197635241],,probSuccessViolated,,220342
12,,[r2, r3, r1],,[643568070, 311, 1742125124],,probSuccessViolated,,257249
93,,[r2, r3, r1],,[841112364, 623, 1969201538],,probSuccessViolated,,270689
4,,[r2, r3, r1],,[908334427, 54, 688829084],,probSuccessViolated,,276836
95,,[r2, r3, r1],,[1939744514, 268, 1973934061],,probSuccessViolated,,282038
17,,[r2, r3, r1],,[511437705, 371, 1216056777],,probSuccessViolated,,293747
14,,[r2, r3, r1],,[225106489, 458, 766517615],,probSuccessViolated,,350892
3,,[r2, r3, r1],,[1564288072, 197, 489636732],,noPlanSynthesised,,359211
71,,[r2, r3, r1],,[624046852, 149, 1473268045],,probSuccessViolated,,373132
19,,[r2, r3, r1],,[441531314, 527, 618642863],,probSuccessViolated,,404156
81,,[r2, r3, r1],,[1254721512, 636, 760386539],,probSuccessViolated,,409093
17,,[r2, r3, r1],,[232703167, 110, 109959849],,probSuccessViolated,,423949
21,,[r2, r3, r1],,[850080293, 195, 1094727232],,probSuccessViolated,,428057
78,,[r2, r3, r1],,[416768573, 619, 792288901],,noPlanSynthesised,,443105
47,,[r2, r3, r1],,[215666366, 39, 1765375526],,probSuccessViolated,,467959
