alloc,,clusters,,tasksAlloc,,file
1,,[[r2]],,{r2=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_5, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation1.xml
2,,[[r2, r1]],,{r2=[at1Rock_5, at1Rock_1], r1=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation2.xml
3,,[[r2, r1]],,{r2=[at2Rock_6, at2Rock_4, at1Rock_3, at1Rock_1], r1=[at2Rock_2, at1Rock_5]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation3.xml
4,,[[r2, r1]],,{r2=[at2Rock_2, at1Rock_5], r1=[at2Rock_6, at2Rock_4, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation4.xml
5,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6, at1Rock_5], r1=[at2Rock_4, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation5.xml
6,,[[r2], [r1]],,{r2=[at2Rock_6, at1Rock_5], r1=[at2Rock_2, at2Rock_4, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation6.xml
7,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_4, at1Rock_5], r1=[at2Rock_6, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation7.xml
8,,[[r2, r1]],,{r2=[at2Rock_4, at1Rock_5], r1=[at2Rock_2, at2Rock_6, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation8.xml
9,,[[r2, r1]],,{r2=[at2Rock_6, at2Rock_4, at1Rock_5], r1=[at2Rock_2, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation9.xml
10,,[[r2], [r1]],,{r2=[at2Rock_6, at2Rock_4, at1Rock_5, at1Rock_3], r1=[at2Rock_2, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation10.xml
11,,[[r2, r1]],,{r2=[at2Rock_2, at1Rock_3], r1=[at2Rock_6, at2Rock_4, at1Rock_5, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation11.xml
12,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6, at1Rock_3], r1=[at2Rock_4, at1Rock_5, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation12.xml
13,,[[r2, r1]],,{r2=[at2Rock_6, at1Rock_3], r1=[at2Rock_2, at2Rock_4, at1Rock_5, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation13.xml
14,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_4, at1Rock_3], r1=[at2Rock_6, at1Rock_5, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation14.xml
15,,[[r2], [r1]],,{r2=[at2Rock_4, at1Rock_3], r1=[at2Rock_2, at2Rock_6, at1Rock_5, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation15.xml
16,,[[r2, r1]],,{r2=[at2Rock_6, at2Rock_4, at1Rock_3], r1=[at2Rock_2, at1Rock_5, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation16.xml
17,,[[r2, r1]],,{r2=[at2Rock_4, at1Rock_5, at1Rock_3], r1=[at2Rock_2, at2Rock_6, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation17.xml
18,,[[r2, r1]],,{r2=[at2Rock_2, at1Rock_5, at1Rock_3], r1=[at2Rock_6, at2Rock_4, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation18.xml
19,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6, at1Rock_5, at1Rock_3], r1=[at2Rock_4, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation19.xml
20,,[[r2, r1]],,{r2=[at2Rock_6, at1Rock_5, at1Rock_3], r1=[at2Rock_2, at2Rock_4, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation20.xml
21,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_4, at1Rock_5, at1Rock_3], r1=[at2Rock_6, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation21.xml
22,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_4, at1Rock_5, at1Rock_1], r1=[at2Rock_6, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation22.xml
23,,[[r2], [r1]],,{r2=[at2Rock_2, at1Rock_1], r1=[at2Rock_6, at2Rock_4, at1Rock_5, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation23.xml
24,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6, at1Rock_1], r1=[at2Rock_4, at1Rock_5, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation24.xml
25,,[[r2, r1]],,{r2=[at2Rock_6, at1Rock_1], r1=[at2Rock_2, at2Rock_4, at1Rock_5, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation25.xml
26,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_4, at1Rock_1], r1=[at2Rock_6, at1Rock_5, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation26.xml
27,,[[r2, r1]],,{r2=[at2Rock_4, at1Rock_1], r1=[at2Rock_2, at2Rock_6, at1Rock_5, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation27.xml
28,,[[r2, r1]],,{r2=[at2Rock_6, at2Rock_4, at1Rock_1], r1=[at2Rock_2, at1Rock_5, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation28.xml
29,,[[r2, r1]],,{r2=[at2Rock_6, at2Rock_4, at1Rock_5, at1Rock_1], r1=[at2Rock_2, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation29.xml
30,,[[r2, r1]],,{r2=[at2Rock_2, at1Rock_5, at1Rock_1], r1=[at2Rock_6, at2Rock_4, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation30.xml
31,,[[r2], [r1]],,{r2=[at2Rock_2, at2Rock_6, at1Rock_5, at1Rock_1], r1=[at2Rock_4, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation31.xml
32,,[[r2, r1]],,{r2=[at2Rock_6, at1Rock_5, at1Rock_1], r1=[at2Rock_2, at2Rock_4, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation32.xml
33,,[[r2, r1]],,{r2=[at2Rock_4, at1Rock_5, at1Rock_1], r1=[at2Rock_2, at2Rock_6, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation33.xml
34,,[[r2, r1]],,{r2=[at2Rock_6, at1Rock_3, at1Rock_1], r1=[at2Rock_2, at2Rock_4, at1Rock_5]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation34.xml
35,,[[r2, r1]],,{r2=[at2Rock_2, at1Rock_3, at1Rock_1], r1=[at2Rock_6, at2Rock_4, at1Rock_5]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation35.xml
36,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6, at1Rock_3, at1Rock_1], r1=[at2Rock_4, at1Rock_5]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation36.xml
37,,[[r2], [r1]],,{r2=[at2Rock_2, at2Rock_4, at1Rock_3, at1Rock_1], r1=[at2Rock_6, at1Rock_5]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation37.xml
38,,[[r2, r1]],,{r2=[at2Rock_4, at1Rock_3, at1Rock_1], r1=[at2Rock_2, at2Rock_6, at1Rock_5]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation38.xml
39,,[[r2, r1]],,{r2=[at2Rock_6, at2Rock_4], r1=[at2Rock_2, at1Rock_5, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation39.xml
40,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_3, at1Rock_1], r1=[at1Rock_5]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation40.xml
41,,[[r2, r1]],,{r2=[at2Rock_2, at1Rock_5, at1Rock_3, at1Rock_1], r1=[at2Rock_6, at2Rock_4]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation41.xml
42,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6, at1Rock_5, at1Rock_3, at1Rock_1], r1=[at2Rock_4]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation42.xml
43,,[[r2, r1]],,{r2=[at2Rock_6, at1Rock_5, at1Rock_3, at1Rock_1], r1=[at2Rock_2, at2Rock_4]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation43.xml
44,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_4, at1Rock_5, at1Rock_3, at1Rock_1], r1=[at2Rock_6]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation44.xml
45,,[[r2, r1]],,{r2=[at2Rock_4, at1Rock_5, at1Rock_3, at1Rock_1], r1=[at2Rock_2, at2Rock_6]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation45.xml
46,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_5, at1Rock_3], r1=[at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation46.xml
